put: Target query1.txt already exists
put: Target query2.txt already exists
13/02/21 19:51:42 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
13/02/21 19:51:42 INFO mapred.FileInputFormat: Total input paths to process : 256
13/02/21 19:51:43 INFO mapred.JobClient: Running job: job_201302052330_0277
13/02/21 20:00:27 INFO mapred.JobClient:  map 70% reduce 20%
13/02/21 20:00:34 INFO mapred.JobClient:  map 71% reduce 20%
13/02/21 20:00:41 INFO mapred.JobClient:  map 72% reduce 20%
13/02/21 20:00:45 INFO mapred.JobClient:  map 72% reduce 21%
13/02/21 20:00:48 INFO mapred.JobClient:  map 73% reduce 21%
13/02/21 20:00:54 INFO mapred.JobClient:  map 73% reduce 22%
13/02/21 20:00:57 INFO mapred.JobClient:  map 74% reduce 22%
13/02/21 20:01:00 INFO mapred.JobClient:  map 74% reduce 23%
13/02/21 20:01:04 INFO mapred.JobClient:  map 75% reduce 23%
13/02/21 20:01:12 INFO mapred.JobClient:  map 76% reduce 23%
13/02/21 20:01:15 INFO mapred.JobClient:  map 76% reduce 24%
13/02/21 20:01:19 INFO mapred.JobClient:  map 77% reduce 24%
13/02/21 20:01:25 INFO mapred.JobClient:  map 78% reduce 24%
13/02/21 20:01:32 INFO mapred.JobClient:  map 79% reduce 24%
13/02/21 20:01:39 INFO mapred.JobClient:  map 80% reduce 24%
13/02/21 20:01:46 INFO mapred.JobClient:  map 81% reduce 24%
13/02/21 20:01:52 INFO mapred.JobClient:  map 82% reduce 24%
13/02/21 20:01:59 INFO mapred.JobClient:  map 83% reduce 24%
13/02/21 20:02:06 INFO mapred.JobClient:  map 84% reduce 24%
13/02/21 20:02:13 INFO mapred.JobClient:  map 85% reduce 24%
13/02/21 20:02:15 INFO mapred.JobClient:  map 85% reduce 25%
13/02/21 20:02:21 INFO mapred.JobClient:  map 86% reduce 25%
13/02/21 20:02:24 INFO mapred.JobClient:  map 86% reduce 26%
13/02/21 20:02:29 INFO mapred.JobClient:  map 87% reduce 26%
13/02/21 20:02:32 INFO mapred.JobClient:  map 87% reduce 27%
13/02/21 20:02:37 INFO mapred.JobClient:  map 88% reduce 27%
13/02/21 20:02:39 INFO mapred.JobClient:  map 88% reduce 28%
13/02/21 20:02:44 INFO mapred.JobClient:  map 89% reduce 28%
13/02/21 20:02:51 INFO mapred.JobClient:  map 90% reduce 28%
13/02/21 20:02:58 INFO mapred.JobClient:  map 91% reduce 28%
13/02/21 20:03:05 INFO mapred.JobClient:  map 92% reduce 28%
13/02/21 20:03:11 INFO mapred.JobClient:  map 93% reduce 28%
13/02/21 20:03:18 INFO mapred.JobClient:  map 94% reduce 28%
13/02/21 20:03:25 INFO mapred.JobClient:  map 95% reduce 28%
13/02/21 20:03:31 INFO mapred.JobClient:  map 96% reduce 28%
13/02/21 20:03:39 INFO mapred.JobClient:  map 97% reduce 29%
13/02/21 20:03:46 INFO mapred.JobClient:  map 97% reduce 30%
13/02/21 20:03:47 INFO mapred.JobClient:  map 98% reduce 30%
13/02/21 20:03:55 INFO mapred.JobClient:  map 98% reduce 31%
13/02/21 20:03:59 INFO mapred.JobClient:  map 99% reduce 31%
13/02/21 20:04:10 INFO mapred.JobClient:  map 99% reduce 32%
13/02/21 20:04:25 INFO mapred.JobClient:  map 99% reduce 33%
13/02/21 20:04:58 INFO mapred.JobClient:  map 100% reduce 33%
13/02/21 20:05:07 INFO mapred.JobClient:  map 100% reduce 100%
13/02/21 20:05:10 INFO mapred.JobClient: Job complete: job_201302052330_0277
13/02/21 20:05:10 INFO mapred.JobClient: Counters: 31
13/02/21 20:05:10 INFO mapred.JobClient:   Job Counters 
13/02/21 20:05:10 INFO mapred.JobClient:     Launched reduce tasks=1
13/02/21 20:05:10 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=23196694
13/02/21 20:05:10 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
13/02/21 20:05:10 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
13/02/21 20:05:10 INFO mapred.JobClient:     Rack-local map tasks=25
13/02/21 20:05:10 INFO mapred.JobClient:     Launched map tasks=271
13/02/21 20:05:10 INFO mapred.JobClient:     Data-local map tasks=246
13/02/21 20:05:10 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=701814
13/02/21 20:05:10 INFO mapred.JobClient:   File Input Format Counters 
13/02/21 20:05:10 INFO mapred.JobClient:     Bytes Read=17179869184
13/02/21 20:05:10 INFO mapred.JobClient:   File Output Format Counters 
13/02/21 20:05:10 INFO mapred.JobClient:     Bytes Written=659
13/02/21 20:05:10 INFO mapred.JobClient:   FileSystemCounters
13/02/21 20:05:10 INFO mapred.JobClient:     FILE_BYTES_READ=416954
13/02/21 20:05:10 INFO mapred.JobClient:     HDFS_BYTES_READ=17179901184
13/02/21 20:05:10 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=7143183
13/02/21 20:05:10 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=659
13/02/21 20:05:10 INFO mapred.JobClient:   Map-Reduce Framework
13/02/21 20:05:10 INFO mapred.JobClient:     Map output materialized bytes=418484
13/02/21 20:05:10 INFO mapred.JobClient:     Map input records=4197494
13/02/21 20:05:10 INFO mapred.JobClient:     Reduce shuffle bytes=418484
13/02/21 20:05:10 INFO mapred.JobClient:     Spilled Records=27244
13/02/21 20:05:10 INFO mapred.JobClient:     Map output bytes=389704
13/02/21 20:05:10 INFO mapred.JobClient:     Total committed heap usage (bytes)=42019442688
13/02/21 20:05:10 INFO mapred.JobClient:     CPU time spent (ms)=22079380
13/02/21 20:05:10 INFO mapred.JobClient:     Map input bytes=17179869184
13/02/21 20:05:10 INFO mapred.JobClient:     SPLIT_RAW_BYTES=32000
13/02/21 20:05:10 INFO mapred.JobClient:     Combine input records=0
13/02/21 20:05:10 INFO mapred.JobClient:     Reduce input records=13622
13/02/21 20:05:10 INFO mapred.JobClient:     Reduce input groups=1
13/02/21 20:05:10 INFO mapred.JobClient:     Combine output records=0
13/02/21 20:05:10 INFO mapred.JobClient:     Physical memory (bytes) snapshot=51621752832
13/02/21 20:05:10 INFO mapred.JobClient:     Reduce output records=20
13/02/21 20:05:10 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=503335256064
13/02/21 20:05:10 INFO mapred.JobClient:     Map output records=13622
cat: output/_logs: Is a directory
